Tweet,TweetClean,Sentimen
- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',di saat semua cowok berusaha melacak perhatian gue kamu lantas remehkan perhatian yang gue kasih khusus ke kamu basic kamu cowok bego,negative
RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga',rt siapa yang telat memberi tau kamu edan sarap gue bergaul dengan cigax jifla calis sama siapa itu licew juga,negative
"41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter",kadang aku berpikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu meninggalkan aku sendirian ketika orang tuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter,positive
USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU',aku itu aku dan ku tau matamu sipit tapi dilihat dari mana itu aku,positive
USER USER Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah',kaum cebong kafir sudah kelihatan dongoknya dari awal tambah dungu lagi haha,negative
USER Ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',ya bani taplak dan kawan kawan xf x f x x xf x f x x xf x f x x,negative
deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,deklarasi pilihan kepala daerah aman dan anti hoaks warga dukuh sari jabon,positive
Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL,gue baru saja selesai re watch aldnoah zero paling kampret memang akhirnya karakter utama cowoknya kena friendzone bro xd uniform resource locator,negative
"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. Ã°??Â­; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) Ã°???",nah admin belanja satu lagi port terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kau kau doket mana itu gerai rozak mertuaku taipan depan kembar baby amp romantika bank islam senawang,positive
USER Enak lg klo smbil ngewe',enak lagi kalau sambil ngewe,positive
babi si jero enak banget kontolnya,babi sih jero enak banget kontolnya,positive
"aku sih bingung, kok dia suka sama tejo si",aku sih bingung kok dia suka sama tejo sih,negative
wah bajingan sih itu awkoawkoaw,wah bajingan sih itu awkoawkoaw,negative
